"ResponseId","LICENSE","AGE","GENDER","GENDER_OTHER_TEXT","ZIPCODE","COUNTY","COUNTY_OTHER_TEXT","INCOME","COSTS","FREQUENCY","DURATION","SKILL","REASONS_N","REASON_FUN","REASON_FOOD","REASON_SELL","REASON_CHARTER","REASON_OTHER","REASON_OTHER_TEXT","LOCATIONS_N","LOCATION_VESSEL","LOCATION_SHORE","LOCATION_PIER","ZONES_N","ZONE_1","ZONE_2","ZONE_3","ZONE_4","ZONE_5","ZONE_6","ZONE_7","ZONE_8","ZONE_9","ZONE_10","ZONE_11","ZONE_12","ZONE_13","ZONE_14","ZONE_15","ZONE_16","ZONE_17","ZONE_18","ZONE_19","ZONE_20","ZONE_21","ZONE_22","ZONE_23","ZONE_24","ZONE_25","ZONE_26","ZONE_27","ZONE_28","ZONE_29","ZONE_30","ZONE_31","ZONE_32","ZONE_33","ZONE_34","ZONE_35","ZONE_36","ZONE_37","ZONE_38","ZONE_39","ZONE_40","ZONE_41","ZONE_42","ZONE_43","ZONE_44","ZONE_45","ZONE_46","ZONE_47","ZONE_48","ZONE_49","ZONE_50","ZONE_51","ZONE_52","ZONE_53","ZONE_54","ZONE_55","ZONE_56","ZONE_57","ZONE_58","ZONE_59","ZONE_60","ZONE_61","ZONE_62","ZONE_63","ZONE_64","ZONE_65","ZONE_66","ZONE_67","ZONE_68","ZONE_69","ZONE_70","ZONE_71","ZONE_72","ZONE_73","ZONE_74","ZONE_75","ZONE_76","PRESSURES_N","PRESSURE_STORMS","PRESSURE_HABLOSS","PRESSURE_WQUALITY","PRESSURE_FISHPOP","PRESSURE_ANGLERS","PRESSURE_DEVELOP","PRESSURE_COSTS","PRESSURE_POLICY","SPECIES_OFTEN_N","SPECIES_SNOOK","SPECIES_SEATROUT","SPECIES_REDDRUM","SPECIES_TARPON","SPECIES_SHEEPSHEAD","SPECIES_SNAPPER","SPECIES_GROUPER","SPECIES_OTHER","SPECIES_OTHER_TEXT","HABITAT_SEAGRASS","HABITAT_HARDBTM","HABITAT_ARTREEF","HABITAT_RIVER","HABITAT_SHORELINE","HABITAT_INFRASTR","AR_RELIEF","AR_SIZE","AR_DEPTH","AR_COMPLEX","AR_MATERIAL_CONCRETE","AR_MATERIAL_PREFAB","AR_MATERIAL_ROCK","AR_MATERIAL_TIRE","CONCRETE_ATTRACTFISH","CONCRETE_WORSEWQ","CONCRETE_SEDSTABILIZE","CONCRETE_DAMAGEHAB","CONCRETE_RESTORETOOL","TIRE_ATTRACTFISH","TIRE_WORSEWQ","TIRE_SEDSTABILIZE","TIRE_DAMAGEHAB","TIRE_RESTORETOOL","FUNDING","AWARE","ACTION_MONITOR","ACTION_STABILIZE","ACTION_COVER","ACTION_REMOVEPART","ACTION_REMOVEALL"
"R_57OScckIQR03lQk","Charter","65 or older","Male",NA,"34209","Manatee",NA,"$50,001 - $75,000",100,"About once a week","20 years or more","Good",2,1,0,0,1,0,NA,1,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,7,1,1,1,1,1,1,0,1,3,"Often","Often","Often","Rarely","Sometimes","Sometimes","Sometimes","Sometimes","Flounder","Often","Sometimes","Sometimes","Sometimes","Often","Sometimes","Moderate","Not sure","Moderate","Not sure","Sometimes","Sometimes","Not sure","Not sure","Somewhat agree","Somewhat disagree","Somewhat disagree","Disagree","Somewhat agree","Disagree","Disagree","Disagree","Somewhat agree","Disagree","Neutral","No",7.13,7.21,1.81,7.63,7.63
"R_6EXMjhpXdVVKUYw","Charter","25 - 34","Male",NA,"33707","Pinellas",NA,"$50,001 - $75,000",100,"Many times a week","5 - 9 years","Excellent",1,0,0,0,1,0,NA,1,1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,7,1,1,0,1,1,1,1,1,6,"Always","Always","Always","Often","Sometimes","Often","Often","Sometimes","Hogfish","Always","Often","Sometimes","Often","Always","Sometimes","Moderate","Medium","Moderate","Moderate","Sometimes","Sometimes","Often","Never","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Supportive","No",8.25,9.64,10,3.64,2.83
"R_3G1nEZUEUH00o2l","Charter","55 - 64","Male",NA,"33570","Hillsborough",NA,"$100,000 or more",250,"About once a month","20 years or more","Good",1,1,0,0,0,0,NA,1,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,5,1,1,1,0,1,0,1,0,0,"Sometimes","Sometimes","Sometimes","Rarely","Sometimes","Sometimes","Sometimes","Sometimes",NA,"Often","Often","Often","Often","Often","Often","High","Large","Deep","Moderate","Often","Sometimes","Often","Sometimes","Strongly agree","Disagree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Somewhat disagree","Strongly agree","Supportive","No",6.22,5.04,0.82,0.71,0.5
"R_5yONlUGOC0fw4kV","General","25 - 34","Male",NA,"33774","Pinellas",NA,"$75,001 - $100,000",NA,"About once a week","10 - 19 years","Excellent",1,1,0,0,0,0,NA,1,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,0,0,0,1,1,1,1,0,1,"Sometimes","Often","Rarely","Never","Rarely","Rarely","Rarely","Never",NA,"Often","Often","Sometimes","Never","Often","Often","High","Medium","Moderate","Simple","Often","Not sure","Often","Not sure","Strongly agree","Strongly disagree","Strongly agree","Strongly disagree","Strongly agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Supportive","No",0.76,1.27,0.99,8.5,9.69
"R_1R7wvZSvH3cgOTv","General","55 - 64","Male",NA,"33609","Hillsborough",NA,"$100,000 or more",200,"About once a month","10 - 19 years","Excellent",1,1,0,0,0,0,NA,1,1,0,0,27,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,1,0,0,0,5,"Often","Often","Often","Rarely","Often","Often","Sometimes","Rarely",NA,"Often","Often","Sometimes","Rarely","Often","Often","Moderate","Medium","Deep","Moderate","Sometimes","Sometimes","Often","Never","Agree","Strongly disagree","Somewhat agree","Disagree","Agree","Somewhat disagree","Agree","Somewhat disagree","Agree","Somewhat agree","Supportive","No",2.92,2.89,1.85,8.2,10
"R_5SuhmIV7pSwEfgW","General","55 - 64","Male",NA,"33545","Pasco",NA,"$75,001 - $100,000",50,"A few times","5 - 9 years","Fair",1,1,0,0,0,0,NA,2,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"Sometimes","Sometimes","Rarely","Sometimes","Rarely","Often","Sometimes","Sometimes",NA,"Rarely","Often","Sometimes","Rarely","Sometimes","Often","High","Medium","Moderate","Moderate","Sometimes","Sometimes","Sometimes","Not sure","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Supportive","No",0.91,7,3.73,10,10
"R_5B2nIP983xneWtS","General","45 - 54","Male",NA,"34219","Manatee",NA,"$100,000 or more",300,"About once a week","1 - 4 years","Good",1,1,0,0,0,0,NA,1,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,3,0,1,0,0,0,1,0,1,6,"Always","Always","Always","Always","Sometimes","Always","Often","Sometimes","Spanish Mackerel","Often","Rarely","Sometimes","Often","Often","Often","Not sure","Large","Deep","Moderate","Often","Not sure","Sometimes","Not sure","Agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Supportive","No",4.03,4.96,7.06,5.08,5.1
"R_6gvkShk4EXYMIDS","General","18 - 24","Male",NA,"33823","Polk",NA,"$75,001 - $100,000",150,"About once a week","1 - 4 years","Good",1,1,0,0,0,0,NA,1,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,3,"Often","Sometimes","Often","Often","Sometimes","Sometimes","Sometimes","Sometimes",NA,"Often","Sometimes","Sometimes","Rarely","Often","Often","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Supportive","No",5.73,5.7,0.59,0.6,0.35
"R_6ANzZ3WN33U9j6K","General","45 - 54","Male",NA,"33579","Hillsborough",NA,"$100,000 or more",20,"About once a month","1 - 4 years","Good",1,1,0,0,0,0,NA,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,"Often","Often","Often","Sometimes","Never","Rarely","Never","Rarely","Mackerel","Often","Rarely","Rarely","Sometimes","Often","Rarely","Low","Small","Moderate","Simple","Rarely","Rarely","Rarely","Never","Agree","Somewhat disagree","Somewhat agree","Disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Supportive","No",5.3,5.4,5.55,7.24,3.14
"R_5pmJKcORYTWyYvy","General","25 - 34","Male",NA,"33565","Hillsborough",NA,"$100,000 or more",50,"About once a week","5 - 9 years","Excellent",1,1,0,0,0,0,NA,1,1,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,2,"Always","Sometimes","Always","Rarely","Never","Rarely","Never","Never",NA,"Often","Rarely","Rarely","Rarely","Always","Often","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Agree","Disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neutral","No",5.06,7.51,5.01,5.81,2.44
"R_1iOsE5CWaZw6Lm4","General","25 - 34","Male",NA,"33803","Polk",NA,"$50,001 - $75,000",100,"About once a week","1 - 4 years","Excellent",2,1,1,0,0,0,NA,1,1,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,1,0,0,6,"Always","Always","Always","Rarely","Often","Often","Often","Sometimes","Flounder","Often","Often","Often","Often","Often","Often","Not sure","Not sure","Deep","Complex","Not sure","Not sure","Not sure","Not sure","Agree","Strongly disagree","Agree","Strongly disagree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Supportive","No",7.97,7.91,7.94,5.4,2.68
"R_36rPmft2nq5QlBn","General","55 - 64","Male",NA,"33547","Hillsborough",NA,"$100,000 or more",400,"About once a month","1 - 4 years","Good",2,1,1,0,0,0,NA,3,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,1,1,2,"Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Often","Often","Sometimes","Pompano","Often","Always","Often","Sometimes","Often","Often","High","Medium","Deep","Not sure","Sometimes","Sometimes","Often","Not sure","Strongly agree","Somewhat disagree","Somewhat agree","Disagree","Agree","Somewhat agree","Somewhat agree","Disagree","Agree","Somewhat disagree","Supportive","No",1.8,4.75,6.83,6.08,4.75
"R_1oLy7kmWey0t5Uq","General","55 - 64","Male",NA,"33613","Hillsborough",NA,"$25,001 - $50,000",30,"A few times","20 years or more","Good",1,1,0,0,0,0,NA,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"Often","Often","Often","Never","Never","Never","Never","Never",NA,"Often","Rarely","Rarely","Never","Often","Rarely","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Not sure","Agree","Disagree","Agree","Disagree","Agree","Agree","Disagree","Agree","Disagree","Agree","Supportive","No",0.74,10,10,0,0
